                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95164,                 2.9563,                 3.2156,                 1.3298,                0.00618,                0.95833,                0.26318,                0.17617,                0.00638,                      1,                0.26128,                0.14009,                0.65643,                 1.6409,                 3.5143,                 1.3057,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                0.86423,                 2.1803,                 2.9649,                 1.2525,                0.00602,                0.95833,                0.21912,                0.14665,                0.00565,                0.89583,                0.19665,                0.13553,                0.80786,                 2.0353,                 3.5099,                 1.4796,             0.00015446,             0.00015446,             0.00015446
                      3,                0.79662,                  1.828,                 2.4862,                 1.1969,                  0.006,                0.95833,                0.26727,                0.18931,                  0.006,                0.95833,                0.25309,                0.17332,                0.74354,                  2.172,                 3.3366,                 1.4939,             0.00022525,             0.00022525,             0.00022525
                      4,                0.75256,                 1.6743,                 2.2034,                 1.1797,                0.00618,                0.95833,                0.29219,                0.22312,                0.00578,                0.89583,                0.28598,                0.20379,                0.77416,                 2.2414,                 3.2904,                 1.4495,             0.00028738,             0.00028738,             0.00028738
                      5,                0.77801,                 1.5205,                 2.0023,                 1.1844,                0.00623,                0.95833,                0.49025,                0.29379,                0.00623,                0.95833,                0.49025,                0.27343,                0.97505,                 1.8562,                 3.1783,                 1.6445,             0.00034085,             0.00034085,             0.00034085
                      6,                 0.7154,                 1.3679,                 1.7727,                 1.1361,                0.86809,                  0.125,                0.47634,                0.30437,                0.86809,                  0.125,                0.45558,                0.26116,                 0.9321,                 1.8326,                 3.1031,                 1.6595,             0.00038566,             0.00038566,             0.00038566
                      7,                0.74607,                 1.5386,                 1.6394,                 1.1865,                0.55177,                0.36896,                0.50261,                0.34019,                0.55177,                0.36896,                0.49788,                0.29602,                  1.061,                 3.0141,                  2.865,                 1.7919,              0.0004218,              0.0004218,              0.0004218
                      8,                0.72275,                 1.4904,                 1.5146,                 1.1377,                0.48482,                0.44858,                0.48042,                 0.3213,                0.48482,                0.44858,                0.46963,                0.28786,                 1.0047,                  2.154,                  2.786,                 1.6746,             0.00044928,             0.00044928,             0.00044928
                      9,                0.73478,                 1.3886,                 1.4322,                 1.1463,                0.38393,                 0.5631,                0.48226,                0.29687,                0.34704,                 0.4163,                0.42355,                0.24746,                 1.0635,                 2.4483,                  2.734,                 1.7976,              0.0004681,              0.0004681,              0.0004681
                     10,                 0.7295,                 1.3079,                 1.3963,                 1.1437,                0.39029,                0.77071,                0.47436,                0.30967,                0.37948,                0.70486,                0.45336,                0.27957,                 1.0627,                 2.2098,                 2.6612,                 1.7948,             0.00047826,             0.00047826,             0.00047826
                     11,                0.76435,                 1.4534,                 1.8074,                 1.3472,                0.59559,                0.36131,                0.32906,                0.15244,                0.59416,                 0.3735,                0.32339,                0.19031,                 1.3713,                 2.5211,                 3.2066,                 2.1272,             0.00047975,             0.00047975,             0.00047975
                     12,                0.69261,                 1.2784,                 1.7215,                 1.2868,                0.30635,                0.42277,                0.30754,                 0.1558,                0.31983,                  0.375,                0.28155,                0.16688,                 1.2417,                  3.349,                 3.0289,                  2.017,             0.00047258,             0.00047258,             0.00047258
                     13,                0.68695,                 1.3803,                 1.5663,                 1.2165,                0.31758,                0.52726,                0.33747,                0.20578,                0.28472,                0.47389,                 0.2518,                0.15143,                 1.1435,                 3.1245,                 2.9245,                 1.8628,             0.00045675,             0.00045675,             0.00045675
                     14,                0.65312,                 1.2801,                 1.6094,                  1.204,                0.24758,                0.56647,                0.39345,                0.26344,                0.59293,                0.27083,                0.28467,                0.18319,                 1.1557,                 3.2522,                  2.757,                 1.8298,             0.00043226,             0.00043226,             0.00043226
                     15,                0.59276,                 1.1036,                 1.4239,                  1.147,                0.30353,                0.57801,                0.54505,                0.36484,                0.39684,                0.35417,                0.46571,                0.29438,                 1.1645,                 2.7554,                 2.6186,                 1.8158,             0.00038375,             0.00038375,             0.00038375
                     16,                0.60014,                 1.0491,                 1.3311,                 1.1739,                0.43335,                0.57441,                 0.5217,                0.35098,                0.43335,                0.57441,                0.50431,                0.31001,                 1.0852,                 2.3575,                 2.4053,                 1.7052,             0.00038375,             0.00038375,             0.00038375
                     17,                0.57636,                 1.0052,                 1.2787,                 1.1039,                0.45825,                0.63654,                 0.5647,                0.38466,                0.45825,                0.63654,                0.55164,                0.35096,                 1.0298,                 2.3042,                 2.3645,                 1.6459,             0.00032188,             0.00032188,             0.00032188
                     18,                0.55852,                0.97725,                 1.2372,                 1.1299,                0.62012,                0.64773,                0.62266,                0.44694,                0.62012,                0.64773,                0.61274,                 0.3956,                0.94732,                 2.2923,                  2.371,                   1.59,                0.00026,                0.00026,                0.00026
                     19,                 0.5279,                0.95186,                 1.2461,                 1.1003,                0.61023,                0.72556,                0.67126,                 0.4681,                0.58112,                0.66483,                0.64688,                 0.4127,                0.97207,                  2.129,                  2.372,                 1.6185,             0.00019813,             0.00019813,             0.00019813
                     20,                0.52671,                 0.8935,                 1.1672,                 1.1006,                0.59669,                0.73207,                0.69848,                0.47829,                0.56612,                0.67062,                0.67511,                0.43692,                0.98179,                 2.1301,                 2.3973,                 1.6257,             0.00013625,             0.00013625,             0.00013625
